"date","mnth","yr","nvnt"
"2019-01-01","Jan",2019,36543
"2019-02-01","Feb",2019,27912
"2019-03-01","Mar",2019,30199
"2019-04-01","Apr",2019,32716
"2019-05-01","May",2019,31204
"2019-06-01","Jun",2019,28446
"2019-07-01","Jul",2019,31474
"2019-08-01","Aug",2019,33059
"2019-09-01","Sep",2019,37925
"2019-10-01","Oct",2019,28038
"2019-11-01","Nov",2019,24272
"2019-12-01","Dec",2019,31090
"2020-01-01","Jan",2020,32104
"2020-02-01","Feb",2020,25028
"2020-03-01","Mar",2020,19056
"2020-04-01","Apr",2020,8906
"2020-05-01","May",2020,8681
"2020-06-01","Jun",2020,8971
"2020-07-01","Jul",2020,11464
"2020-08-01","Aug",2020,19037
"2020-09-01","Sep",2020,31897
"2020-10-01","Oct",2020,36243
"2020-11-01","Nov",2020,29486
"2020-12-01","Dec",2020,27962
"2021-01-01","Jan",2021,24984
"2021-02-01","Feb",2021,24491
"2021-03-01","Mar",2021,32511
"2021-04-01","Apr",2021,27241
"2021-05-01","May",2021,34130
"2021-06-01","Jun",2021,35499
"2021-07-01","Jul",2021,38226
"2021-08-01","Aug",2021,37564
"2021-09-01","Sep",2021,42627
"2021-10-01","Oct",2021,38551
"2021-11-01","Nov",2021,38981
"2021-12-01","Dec",2021,40776
"2022-01-01","Jan",2022,37281
"2022-02-01","Feb",2022,31745
"2022-03-01","Mar",2022,41467
"2022-04-01","Apr",2022,37867
"2022-05-01","May",2022,37887
"2022-06-01","Jun",2022,36206
"2022-07-01","Jul",2022,38306
"2022-08-01","Aug",2022,35018
