date,value,Periodo
2010-01-01,500.66,2010-01-01
2010-02-01,532.56,2010-02-01
2010-03-01,523.16,2010-03-01
2010-04-01,520.62,2010-04-01
2010-05-01,533.21,2010-05-01
2010-06-01,536.67,2010-06-01
2010-07-01,531.72,2010-07-01
2010-08-01,509.32,2010-08-01
2010-09-01,493.93,2010-09-01
2010-10-01,484.04,2010-10-01
2010-11-01,482.32,2010-11-01
2010-12-01,474.78,2010-12-01
2011-01-01,489.44,2011-01-01
2011-02-01,475.69,2011-02-01
2011-03-01,479.65,2011-03-01
2011-04-01,471.32,2011-04-01
2011-05-01,467.73,2011-05-01
2011-06-01,469.41,2011-06-01
2011-07-01,462.94,2011-07-01
2011-08-01,466.79,2011-08-01
2011-09-01,483.69,2011-09-01
2011-10-01,511.74,2011-10-01
2011-11-01,508.44,2011-11-01
2011-12-01,517.17,2011-12-01
2012-01-01,501.34,2012-01-01
2012-02-01,481.49,2012-02-01
2012-03-01,485.4,2012-03-01
2012-04-01,486.0,2012-04-01
2012-05-01,497.09,2012-05-01
2012-06-01,505.63,2012-06-01
2012-07-01,491.93,2012-07-01
2012-08-01,480.99,2012-08-01
2012-09-01,474.97,2012-09-01
2012-10-01,475.36,2012-10-01
2012-11-01,480.57,2012-11-01
2012-12-01,477.13,2012-12-01
2013-01-01,472.67,2013-01-01
2013-02-01,472.34,2013-02-01
2013-03-01,472.48,2013-03-01
2013-04-01,472.14,2013-04-01
2013-05-01,479.58,2013-05-01
2013-06-01,502.89,2013-06-01
2013-07-01,504.96,2013-07-01
2013-08-01,512.59,2013-08-01
2013-09-01,504.57,2013-09-01
2013-10-01,500.81,2013-10-01
2013-11-01,519.25,2013-11-01
2013-12-01,529.45,2013-12-01
2014-01-01,537.03,2014-01-01
2014-02-01,554.41,2014-02-01
2014-03-01,563.84,2014-03-01
2014-04-01,554.64,2014-04-01
2014-05-01,555.4,2014-05-01
2014-06-01,553.06,2014-06-01
2014-07-01,558.21,2014-07-01
2014-08-01,579.05,2014-08-01
2014-09-01,593.47,2014-09-01
2014-10-01,589.98,2014-10-01
2014-11-01,592.46,2014-11-01
2014-12-01,612.92,2014-12-01
2015-01-01,620.91,2015-01-01
2015-02-01,623.62,2015-02-01
2015-03-01,628.5,2015-03-01
2015-04-01,614.73,2015-04-01
2015-05-01,607.6,2015-05-01
2015-06-01,629.99,2015-06-01
2015-07-01,650.14,2015-07-01
2015-08-01,688.12,2015-08-01
2015-09-01,691.73,2015-09-01
2015-10-01,685.31,2015-10-01
2015-11-01,704.0,2015-11-01
2015-12-01,704.24,2015-12-01
2016-01-01,721.95,2016-01-01
2016-02-01,704.08,2016-02-01
2016-03-01,682.07,2016-03-01
2016-04-01,669.93,2016-04-01
2016-05-01,681.87,2016-05-01
2016-06-01,681.07,2016-06-01
2016-07-01,657.57,2016-07-01
2016-08-01,658.89,2016-08-01
2016-09-01,668.63,2016-09-01
2016-10-01,663.92,2016-10-01
2016-11-01,666.12,2016-11-01
2016-12-01,667.17,2016-12-01
2017-01-01,661.19,2017-01-01
2017-02-01,643.21,2017-02-01
2017-03-01,661.2,2017-03-01
2017-04-01,655.74,2017-04-01
2017-05-01,671.54,2017-05-01
2017-06-01,665.15,2017-06-01
2017-07-01,658.17,2017-07-01
2017-08-01,644.24,2017-08-01
2017-09-01,625.54,2017-09-01
2017-10-01,629.55,2017-10-01
2017-11-01,633.77,2017-11-01
2017-12-01,636.92,2017-12-01
2018-01-01,605.53,2018-01-01
2018-02-01,596.84,2018-02-01
2018-03-01,603.45,2018-03-01
2018-04-01,600.55,2018-04-01
2018-05-01,626.12,2018-05-01
2018-06-01,636.15,2018-06-01
2018-07-01,652.41,2018-07-01
2018-08-01,656.25,2018-08-01
2018-09-01,680.91,2018-09-01
2018-10-01,676.84,2018-10-01
2018-11-01,677.61,2018-11-01
2018-12-01,681.99,2018-12-01
2019-01-01,677.06,2019-01-01
2019-02-01,656.3,2019-02-01
2019-03-01,667.68,2019-03-01
2019-04-01,667.4,2019-04-01
2019-05-01,692.0,2019-05-01
2019-06-01,692.41,2019-06-01
2019-07-01,686.06,2019-07-01
2019-08-01,713.7,2019-08-01
2019-09-01,718.44,2019-09-01
2019-10-01,721.03,2019-10-01
2019-11-01,776.53,2019-11-01
2019-12-01,770.39,2019-12-01
2020-01-01,772.65,2020-01-01
2020-02-01,796.38,2020-02-01
2020-03-01,839.38,2020-03-01
2020-04-01,853.38,2020-04-01
2020-05-01,821.81,2020-05-01
2020-06-01,793.72,2020-06-01
2020-07-01,784.73,2020-07-01
2020-08-01,784.66,2020-08-01
2020-09-01,773.4,2020-09-01
2020-10-01,788.27,2020-10-01
2020-11-01,762.88,2020-11-01
2020-12-01,734.73,2020-12-01
2021-01-01,723.56,2021-01-01
2021-02-01,722.63,2021-02-01
2021-03-01,726.37,2021-03-01
2021-04-01,707.85,2021-04-01
2021-05-01,712.26,2021-05-01
2021-06-01,726.54,2021-06-01
2021-07-01,750.44,2021-07-01
2021-08-01,779.83,2021-08-01
2021-09-01,783.63,2021-09-01
2021-10-01,813.95,2021-10-01
2021-11-01,812.62,2021-11-01
2021-12-01,849.12,2021-12-01
2022-01-01,822.05,2022-01-01
2022-02-01,807.07,2022-02-01
2022-03-01,799.19,2022-03-01
2022-04-01,815.12,2022-04-01
2022-05-01,849.39,2022-05-01
2022-06-01,857.77,2022-06-01
2022-07-01,953.71,2022-07-01
2022-08-01,904.35,2022-08-01
2022-09-01,921.01,2022-09-01
